Kanji	Field	OldValue	NewValue
足	primitives	足	口[mending]
万	primitives	万	一勹
風	primitives	几丶虫	几丶虫䖝
令	heisig_comment		Editor's note: In typed font the chop-seal looks like ㄗ but when written it uses the form マ. Take also care to differentiate it from the stamp (卩).
賭	heisig_comment		Editor's note: The dot above the sun is optional (it can be seen in some fonts and in some it's omitted)
狼	primitives		犬良
李	primitives		木子
糸	primitives	糸	幺小
莉	primitives		艹利
祐	primitives		示右
侑	primitives		人有
唱	primitives	口日日	口日昌
唱	heisig_comment		Editor's note: You can use either 'tongue wagging mouths' 日 or 'prosperous 昌'
紗	primitives		糸少
淳	primitives		水享
聡	primitives		耳公心
玲	primitives		王令
叱	primitives	口七	口匕
耶	primitives		耳⻏
宛	primitives	宀夕卩夗	宀夗
櫻	primitives		木嬰
篠	primitives		竹人丨攵木
遼	primitives		辶尞
佑	primitives		人右
衰	primitives	衣口一	衣口一哀
栽	primitives	土戈𢦏木	𢦏木
趙	primitives		走肖
趙	heisig_comment		Editor's note: In some fonts the 'candle' primitive is written with 小 instead of the usual ⺌
騙	primitives	馬扁	馬戸冊
凪	primitives		几止
嬪	primitives		賓女
箸	heisig_comment		Editor's note: The dot above the sun is optional (it can be seen in some fonts and in some it's omitted)
芦	primitives		艹戸
敦	primitives		享攵
渕	primitives		水关刀
隼	primitives		隹十
靖	primitives		立青
梁	primitives		水丶刀丶木
樋	primitives	木マ用	木通
楊	primitives		木昜
畠	primitives		白田
嘉	primitives		壴加
嘉	heisig_story		drum . . . add. [14]
濱	primitives		賓水
槻	primitives		木規
槌	primitives		木追
碧	primitives		王白石
哨	primitives		口肖
國	primitives		囗或
幡	primitives		巾番
宍	primitives		宀六
稜	primitives		禾圥夂
晋	primitives		日並业一
晋	heisig_story		The element for sun at the bottom is easy enough. The problem is that the top element, row, is an exception to the rule (1.1785) that the two horns at the top are eliminated only when it appears beneath its relative primitive. [10]
晋	heisig_comment		Editor's note: ... or instead of overly complicated rules, we could use simple primitives:  <i>One</i> can make <b>progress</b> even walking on <i>spikes</i> all <i>day</i>.
磐	primitives		般石
俣	primitives		人口天
琢	primitives		王豕
纏	primitives		糸廛
鯖	primitives		魚青
隈	primitives		⻖畏
屑	heisig_comment		Editor's note: In some fonts the 'candle' primitive is written with 小 instead of the usual ⺌
鵜	primitives		弟鳥
蔭	primitives		艹陰
溟	primitives		水冥
錆	primitives		金青
邉	primitives		辶自冖㕣
猥	primitives		犬畏
亨	primitives		高了
冨	primitives		冖畐
躙	primitives		足門隹
奢	primitives		大者
糊	primitives		米胡
稔	primitives		禾念
釧	primitives		金川
巽	primitives		己己共
齋	primitives		齊示
砧	primitives		石占
堺	primitives		土界
纓	primitives		糸嬰
瑛	primitives		王英
蔡	primitives		艹祭
酋	heisig_comment		Editor's note: In some fonts the horns are written clearly pointed up, and in some others they are reversed
瀧	primitives		水龍
浙	primitives		水折
殯	primitives		賓歹
埜	primitives		林土
諺	primitives		言乂厂彡
濠	primitives		水豪
倭	primitives		人委
嶽	primitives		山獄
頷	primitives		今口頁
廛	primitives		广里儿土
應	primitives		广人隹心
伶	primitives		人令
鄭	primitives		酋大⻏
檳	primitives		木賓
奄	primitives		大亀
奄	primitive_keywords		dachshund
嬰	primitives		貝貝女
嘗	primitives		尚旨
禹	primitives		䖝冂
奠	primitives		酋大
蘊	primitives		艹縕
亟	primitives		丂口又一
鑌	primitives		金賓
噵	primitives		道口
瓔	primitives		王嬰
嚶	primitives		口嬰
錻	primitives		金武
擯	primitives		扌賓
孾	primitives		子嬰
厷	primitives		𠂇厶
舄	primitives		臼勹火
繽	primitives		糸賓
髕	primitives		骨賓
喻	primitives	口亼肉巛	口亼肉川
甒	primitives		無瓦
蠙	primitives		虫賓
鐉	primitives		金巽
虛	primitives		虎
丰	primitives		三丨
蘡	primitives		艹嬰
癭	primitives		疒嬰
摔	primitives		扌率
蠊	primitives		虫廉
緺	primitives		糸咼
燵	primitives		火達
瀴	primitives		水嬰
倇	primitives		人宛
䖝	primitives		丶虫
䖝	primitive_keywords		gnats
䖝	heisig_story		A swarm of <b>gnats</b>, those tiny <i>drops of</i> pesky <i>insects</i>.
帚	primitives		ヨ[apron]
滌	primitives		水人丨攵木
